"var1" "var2" "var3" "var4"
"135" 83.8 75.1 61.7 88.5
"136" 52.3 66.8 102.1 153.2
"137" 139.6 101.6 136.5 104.6
"138" 135.1 171.4 157.1 119.1
"139" 71 209.9 236.6 285.8
"140" 205.6 80.9 105.3 97.6
"141" 43.5 63.9 91.9 141.4
"142" 98.1 139.7 186.8 161.9
"143" 122.5 139.9 78.1 49.3
"144" 124.8 138.9 89.3 151.9
"145" 80.7 93.1 69.9 83.6
"146" 50.4 53.4 62.8 110.3
"147" 81.8 79.2 75 65.7
"148" 101.9 91.6 108.7 44.7
"149" 60.8 99.5 85.8 99.9
"150" 11.9 56.3 95.4 92.8
"151" 29.2 62.4 49.5 66.2
"152" 87 40.2 13.5 67.9
"153" 63.8 42.7 37.1 99.8
"154" 51.6 3.2 9.5 21.1
"155" 20.9 31.4 52.9 37.9
"156" 49.4 30.8 63.6 48.1
"157" 9.4 54.8 39.2 9.8
"158" 40.2 32.2 19.8 57.1
"159" 44.9 38.4 10.8 42.6
"160" 60.6 18.1 12.2 119
"161" 112.18 60.47 86.13 35.25
"162" 32.69 87.44 126.25 123.06
"163" 114 125.58 117.12 76.06
"164" 78.29 105.82 108.71 129.53
"165" 133.12 123.35 132.53 40.53
"166" 113.24 130.88 141.88 155.36
"167" 160.76 88.71 72.18 113.19
"168" 99 77.44 101 79.06
"169" 53.33 62.31 141.75 151.24
"170" 157.71 137.88 159.29 140.06
"171" 64.41 67.71 56.65 62.12
"172" 29.59 95.5 63.4 114.29
"173" 143.47 84.5 70.38 106
"174" 69.81 90.56 111.71 86.53
"175" 70 97.65 123.35 144.88
"176" 174.75 195.88 212.19 158.31
"177" 50.4 99.31 101.31 164.29
"178" 70.12 70.53 62.24 73.24
"179" 36.76 43.47 99.88 86.41
"180" 94.41 66.82 84.45 71.88
"181" 76.5 101.69 110.31 75.06
"182" 64.18 66 24.69 113.06
"183" 174.13 78 96.06 129.69
"184" 149.85 131.67 116.63 93.69
"185" 116.75 124.06 98.69 54.75
"186" 78.71 100.88 78.76 155.29
"187" 129.82 126.35 125.6 111.5
"188" 148.38 188.25 164.38 150.75
"189" 17.5 61.69 78.88 87.53
"190" 71 64.88 84.35 96.53
"191" 35.2 58.41 58.59 33.35
"192" 34.29 59 60.41 52.47
"193" 43.12 10.59 58.24 60.94
"194" 67 36.69 53.69 55.63
"195" 73.94 72.56 86.38 86.38
"196" 45.59 68.47 36.82 15.76
"197" 23.29 6.24 69.71 76.91
"198" 34.41 11.94 33.53 22.33
"199" 20.56 45.44 17.75 24.31
"200" 25.81 45.56 3.18 59.35
"201" 17.71 3.18 31.76 3
"202" 25.5 21.18 40.53 19.38
"203" 9.35 13.88 13 12.59
"204" 10.53 19.63 16.75 23.44
"205" 24.81 22.06 19.38 11.81
"206" 17.5 86.24 91.55 113
"207" 72.76 77.06 73.47 125.94
"208" 128.24 20.65 61.44 111.63
"209" 132.94 98 78.69 125.63
"210" 101.13 86.25 56.81 34.82
"211" 82.88 56.71 113 103.71
"212" 82.29 80.18 73.71 49.88
"213" 79.35 109.81 117.5 124.62
"214" 180.56 125.63 94.63 73
"215" 78.56 80.69 63.55 109.94
"216" 77.38 59.38 72.94 112.06
"217" 130.41 75.41 149.06 134
"218" 108 145.93 159.75 128.31
"219" 153.29 82.59 118.88 156.06
"220" 165.38 135.94 158.38 134
"221" 129.76 99.29 114.42 115.13
"222" 140.5 135.25 130.4 142.94
"223" 161.29 99.5 82.81 17.41
"224" 169.79 144.38 166.44 148.13
"225" 192.75 194.59 195.25 157.81
"226" 161.44 156.63 127.13 149.07
"227" 171.13 198.63 203.31 184.53
"228" 125.47 56.18 129.29 69.76
"229" 80.29 75.47 87.88 81.65
"230" 88.53 136.59 159.59 85.24
"231" 60.35 91.59 123.41 137.06
"232" 147.63 91.53 80.5 89.94
"233" 87.63 65.63 88.31 130.86
"234" 44.44 86.94 87.75 121.29
"235" 133.18 35.88 26.47 14.94
"236" 36.29 75 69.53 68.24
"237" 40.4 97.58 21.63 75.88
"238" 91.94 83.63 68.69 56.5
"239" 70.94 77 78.13 88.38
"240" 80.81 112.31 39 47.63
"241" 61.53 61.35 15.5 63.77
"242" 46.5 48.73 37.06 51.63
"243" 64.38 33.77 45.88 30.67
"244" 33.94 20.5 50.19 41.75
"245" 48.06 48.44 14.06 27.81
"246" 24 8.25 37.94 37.14
"247" 36.56 56.25 47.59 4.88
"248" 37.94 4.3 3.8 4.2
"249" 4.3 3.6 5.2 6.5
"250" 5.2 5.4 3.3 2.7
"251" 3.1 2.7 1.9 2
"252" 2.4 1.4 4.1 4.8
"253" 2.9 5.3 4 2.2
"254" 2.7 2.9 2.6 2.7
"255" 1.8 2.9 1.7 1.5
"256" 2 2.9 2.4 2.5
"257" 3.7 4.1 3.3 4.3
"258" 3.2 4 2.1 1.8
"259" 1.9 2.1 2 2.4
"260" 1.9 2.9 2.8 3
"261" 2.6 4.4 4.7 3.9
"262" 4.3 3.9 2.8 1.2
"263" 1.1 3.3 4.7 1.6
"264" 3.5 4.5 1.5 2.5
"265" 2 2.3 2.3 2.2
"266" 4.1 1.3 1.5 2.8
"267" 2.8 2 3.4 1.4
"268" 7 5.4 3.4 1.5
"269" 2.1 1.8 1.6 3.3
"270" 1.1 3.9 4 2
"271" 0.6 3.4 1.4 2.4
"272" 6 5.9 5 1.7
"273" 1.5 3 2.3 2.3
"274" 1 4.2 1.8 2
"275" 1 4 1.7 2.8
"276" 2.2 2.6 3.1 2.7
"277" 3.2 1.1 2.1 3.8
"278" 3.3 3 2.9 4.3
"279" 3.5 2 3.5 3.3
"280" 1.1 1.1 0.9 0.9
"281" 3.3 4.9 1.4 1.1
"282" 1.9 1.1 1 1.1
"283" 1.4 5 7.4 4.4
"284" 1.61 4.95 4.81 5.75
"285" 2.08 1.88 2.75 3.14
"286" 3.35 3.41 2.54 3.82
"287" 2.82 1.78 2.83 2.17
"288" 1.96 3.1 2.11 2.22
"289" 2.24 5.38 5.06 1.85
"290" 2.11 3.68 2.56 2.45
"291" 2.94 2 6.79 2.61
"292" 3.21 2.45 5.03 6.72
"293" 2.82 4.71 4.72 4.44
"294" 1.64 3.99 3.24 4.52
"295" 2.07 3.18 3.64 2.8
"296" 2.01 1.78 2 3.72
"297" 3.39 2.11 2.08 3.81
"298" 2.69 2.2 2.59 2.42
"299" 2.99 3.4 3.65 2.99
"300" 2.04 1.74 2.77 1.56
"301" 1.79 3.71 2.84 4.37
"302" 3.96 5.61 5.02 2.11
"303" 7.46 4.95 2.75 2.34
"304" 1.55 4.12 2.15 1.68
"305" 1.47 2.31 3.98 4.76
"306" 3.08 1.99 2.65 2.68
"307" 3.62 3.5 4.93 3.11
"308" 2.46 2.51 1.57 1.25
"309" 2.13 1.77 3.31 3.66
"310" 3.18 2.94 5.44 4.75
"311" 5.68 4.02 2.75 6.52
"312" 6.94 1.61 2 1.65
"313" 1.12 1.64 2.2 2.02
"314" 2.03 2.54 2.71 3.17
"315" 2.4 2.93 1.14 1.08
"316" 1.09 2.11 1.05 1.12
"317" 0.96 1.88 1.57 3.25
"318" 2.58 5.92 5.99 1.99
"319" 1.37 2.34 2.76 5.18
"320" 4.99 5.02 5.75 5.21
"321" 3.59 2.99 3.03 3.05
"322" 2.23 2.16 2.12 2.94
"323" 4.32 4.56 2.87 2.13
"324" 2.46 4.04 2.89 3.28
"325" 2.59 1.69 1.98 3.18
"326" 3.94 4.81 3.4 3.54
"327" 2.02 2.28 3.65 5.64
"328" 4.97 2.06 3.58 2.1
"329" 7.46 4.21 1.96 3.45
"330" 2.32 3.58 3.04 5.97
"331" 5.03 3.1 5.16 5.47
"332" 2.61 1.92 1.37 5.35
"333" 4.5 2.6 1.96 1.88
"334" 1.95 4.78 3.99 5.55
"335" 7.8 5.06 4.51 4.37
"336" 4.54 5.91 5.07 4.46
"337" 4.48 3.16 2.55 3.43
"338" 1.55 4.87 2.7 3.71
"339" 4.56 3.86 3.15 2.24
"340" 5.49 3.21 2.34 2.23
"341" 1.91 3.39 5.54 3.85
"342" 1.53 4.34 5.08 4.11
"343" 2.56 3.36 3.02 2.11
"344" 2.2 1.65 2.69 2.15
"345" 3.59 1.98 2.19 3.83
"346" 4.07 3.05 2.79 1.88
"347" 3.91 6.45 3.32 3.56
"348" 2.26 2.11 3.11 2.17
"349" 2.36 1.37 2.52 3.01
"350" 1.52 5.62 4.64 4.31
"351" 3.32 1.77 2.07 2.35
"352" 2.29 2.32 2.41 2.19
"353" 1.42 2.02 3.21 6.07
"354" 1.68 1.64 1.34 1.62
"355" 3.32 5.95 3.26 3.01
"356" 2.58 5.04 1.82 1.22
"357" 2.95 4.86 7.27 1.45
"358" 1.25 0.88 2.84 0.99
"359" 1.54 1.76 1.69 4.22
"360" 1.38 2.21 2.56 0.88
"361" 2 5.18 7.41 4.55
"362" 3.34 3.21 1.37 2.96
"363" 1.12 2.07 4.58 3.21
"364" 3.06 2.56 2.06 2.62
"365" 4.5 2.7 2.8 5
"366" 2.1 2.1 2.2 7.6
"367" 4.8 3.7 7.9 3.5
"368" 2.1 4.7 3.8 3.1
"369" 3.9 5.7 7.2 8.1
"370" 2.5 3.8 5.3 2.6
"371" 1.9 3.8 4.9 5.4
"372" 2.7 2.6 4.3 1.9
"373" 2.7 2.7 3.2 2.7
"374" 1.8 1.8 2.7 1.8
"375" 3.5 4 3.8 1.5
"376" 3.5 5.1 5.5 3.1
"377" 2.8 1.9 2.8 4.3
"378" 2.5 3.5 1.9 1.8
"379" 4 4.5 3.3 1.9
"380" 2.5 2.5 2.2 3.4
"381" 1.5 2.2 2.2 3.2
"382" 2.5 2.7 2.7 4.1
"383" 3.8 5.9 1.8 1.9
"384" 3.7 2 2.8 5.5
"385" 2.3 3.8 3.3 3.3
"386" 4.3 1.1 2.1 1.6
"387" 1.5 1.7 4.3 2.7
"388" 3.9 4.2 5.1 1.4
"389" 1.9 4.3 2.2 2.3
"390" 1.7 1.8 1.4 4.7
"391" 3 4.7 2.2 3.2
"392" 4 3.6 4.5 7.6
"393" 3 5.6 5.3 4.5
"394" 2.3 2.2 3.4 1.7
"395" 3.5 2 1.9 2.8
"396" 4.5 3.6 2.5 2.8
"397" 1.9 1.2 1.2 1.9
"398" 3.6 1.8 1.5 4.2
"399" 2.2 2.5 3.3 2.8
"400" 2.7 2 1.1 2.8
"401" 7.9 5.3 2.3 1.9
"402" 1.6 2.4 5.4 2.6
"403" 6 4 3.3 7.2
"404" 2.7 1.6 3.1 3.4
"405" 1.4 4.3 4.5 4
"406" 6.6 4.1 6.5 2.3
"407" 3.2 7.5 3.1 1.2
"408" 3.33 3.22 2.76 5.14
"409" 3.77 4 2.11 4.39
"410" 2.87 2.47 3.95 2.5
"411" 2.25 3.28 2.5 1.81
"412" 2.36 2.22 2.59 2.67
"413" 2.74 1.71 1.97 2.44
"414" 1.61 2 2.98 4.63
"415" 1.82 4.67 5.48 1.84
"416" 3.21 3.09 2.9 3.34
"417" 1.64 2.82 3.19 3.89
"418" 2.18 4.04 5.4 3.71
"419" 4.53 3.11 3.96 4.24
"420" 3.56 4.18 3.35 2.29
"421" 2.69 3.82 2.1 2.42
"422" 5.54 2.94 5.49 2.17
"423" 3.12 1.91 3.55 1.95
"424" 2.95 3.82 4.51 1.95
"425" 2.89 4.16 3.26 5.19
"426" 3.68 3.34 3.68 4.78
"427" 3.76 1.73 3.47 5.07
"428" 3.09 2.31 4.61 3.08
"429" 6.17 6.26 5.17 3.92
"430" 1.95 2.04 5.99 1.76
"431" 2.87 2.86 1.48 3.04
"432" 4.82 1.69 2.09 4.29
"433" 5.86 4.74 3.65 1.92
"434" 1.51 3.69 1.79 3.61
"435" 2.92 2.34 3.06 3.15
"436" 5.14 2.01 1.41 1.92
"437" 1.62 3.55 2.6 1.78
"438" 5.21 3.56 2.17 2.06
"439" 3.8 2.42 2.85 2.65
"440" 1.49 4.55 2.58 4.45
"441" 2.4 2.04 4.02 7.31
"442" 3.8 7.6 2.99 2.46
"443" 3.55 1.64 2.29 1.76
"444" 2.08 2.7 3.33 5.58
"445" 2.95 2.69 1.74 1.87
"446" 1.49 1.68 4.42 3.64
"447" 2.94 3.45 2.42 1.12
"448" 3.26 1.56 2.89 4.54
"449" 3.89 2.85 2.33 4.79
"450" 4.88 3.21 1.59 1.97
"451" 6.41 5.01 3.91 2.91
"452" 3.45 3.44 3.36 2.24
"453" 3.19 1.71 3.38 4.72
"454" 2.82 4.24 5.16 2.52
"455" 4.35 2.34 3.15 3.59
"456" 5.75 2.67 4.49 2.61
"457" 4.11 1.84 2.6 3.36
"458" 4.21 1.51 2.22 3.59
"459" 2.43 3.42 4.89 3.7
"460" 3.19 1.58 2.68 3.03
"461" 2.09 1.62 4.65 5.41
"462" 4.92 5.64 4.85 2.79
"463" 1.89 3.85 2.72 4.54
"464" 5.05 4.14 2.24 3.25
"465" 5.68 1.88 3.77 4.53
"466" 3.24 4.49 6.55 2.42
"467" 4.02 2.09 2.68 3.01
"468" 3.37 2.44 5.02 3.58
"469" 3.41 2.61 4.94 3.98
"470" 2.61 2.74 1.88 2.31
"471" 1.22 1.95 2.63 1.67
"472" 2.52 1.46 1.86 1.94
"473" 2.11 1.98 1.67 4.04
"474" 1.45 1.36 1.79 2.37
"475" 2.05 2.14 2.13 2.69
"476" 2.35 2.38 4.73 3.32
"477" 2.94 1.98 1.46 3.94
"478" 7.76 4.16 3.79 1.46
"479" 1.62 2.42 4.08 2.65
"480" 2.28 3.71 4.21 3.58
"481" 2.14 1.21 2.86 2.45
"482" 2.87 1.84 2.39 1.34
"483" 2.01 2.07 6.89 5.58
"484" 2.56 4.06 1.81 1.36
"485" 6.48 6.8 5.48 2.7
"486" 2.52 3.04 3.75 4.34
"487" 5.03 2.32 1.76 1.28
"488" 1.94 1.33 1.14 0.5
"489" 2.05 2.9 2.52 3.31
"490" 2.33 1.01 1.68 1.71
"491" 1.83 2.83 0.98 0.52
"492" 1.76 5.04 4.32 3.7
"493" 3.61 1.31 1.11 4.46
"494" 4.18 3.85 4.24 4.23
"495" 1.13 2.14 642.1 600.6
"496" 604.2 560.9 573.8 540.4
"497" 601.5 658.9 654.8 655.4
"498" 613.1 535.4 605 585.4
"499" 415.2 466.6 230.3 540.5
"500" 319.8 397.9 482.8 511
"501" 591.4 575.6 350.5 590.4
"502" 532.4 135.7 67.9 382.9
"503" 515.7 522.5 491.5 209.5
"504" 569.9 516.8 359 572.1
"505" 486.9 612.8 209.7 602.8
"506" 679.5 586.4 606.5 445.4
"507" 319.1 246.4 463.5 378.8
"508" 571.6 565.7 375 313.9
"509" 216.7 285.1 506.9 330.1
"510" 542.1 249.1 442.9 352.2
"511" 362.8 446.1 308.6 494.2
"512" 475 583.4 535 498.5
"513" 520.6 520.4 560.6 508.1
"514" 489.5 411.3 528.1 190.5
"515" 115.4 310.8 253.4 246.9
"516" 426.9 538.1 412.5 86.5
"517" 185.8 178.7 483.4 497.4
"518" 409.8 290.3 426.5 332.1
"519" 261.8 282.8 62.9 312.9
"520" 442.1 409.1 311.7 391.8
"521" 206.2 245.6 68.6 129.4
"522" 262.2 273.5 264.5 202.5
"523" 216.5 182.2 153.4 120.2
"524" 275.5 383.1 351.6 63.1
"525" 211.3 95.7 87.7 102.4
"526" 26.5 157.7 138.2 75.9
"527" 166.3 300.5 298.9 257.8
"528" 212.8 59.7 219.1 283.6
"529" 255.3 243.3 238.4 231.5
"530" 242.1 172.6 86.4 77.8
"531" 45.5 589.65 272.76 364.69
"532" 444.24 527.88 205.12 201.88
"533" 303.12 498.59 178 356.2
"534" 240.35 107.12 179.12 219.12
"535" 391.29 604.29 394 622.59
"536" 115.53 476.65 306.71 551.65
"537" 422.24 660.53 640.82 330.59
"538" 489.06 489.12 529.41 475.29
"539" 507.47 90.76 387.71 136.59
"540" 301.35 146.35 190.88 153.71
"541" 336.47 584.59 635.18 599.47
"542" 646.59 660.41 566.82 401.94
"543" 319.19 606.53 600.82 587.18
"544" 574.76 611.59 564.94 599.82
"545" 567.94 556 553.59 395.82
"546" 449.35 409.88 517.06 444.44
"547" 377.88 507.65 555.59 390.76
"548" 395.12 536.88 301.59 172.56
"549" 472.71 174.12 540.12 409.94
"550" 446.65 265.69 349.76 309.88
"551" 494.94 528.88 351.29 294.94
"552" 430.06 417.06 369.44 439.29
"553" 100.82 187.18 278.65 60.94
"554" 302.71 335.24 300.31 170.29
"555" 229.88 327.24 146 168.06
"556" 289.41 430.94 452.82 395.25
"557" 481.29 364.57 335.59 350.82
"558" 235 163.76 104.88 226.82
"559" 235.65 273.76 233.06 259.71
"560" 389.94 344.94 204.35 58.24
"561" 236.94 354.69 101 309.65
"562" 304.94 219.35 245.81 327.06
"563" 324.65 312.59 309.41 230.18
"564" 258.06 133.71 121.94 247.24
"565" 261.65 152.47 223.94 303.82
"566" 292.18 222.38 204.94 217.94
"567" 123.82 94.65 143.71 132.53
"568" 86.59 63.65 263.65 373.12
"569" 442.76 368.06 464.06 419.29
"570" 310.59 569.12 425.59 53.18
"571" 181.35 134.88 448.94 279.41
"572" 310.12 263.12 368.06 495
"573" 411.12 444.12 469.31 434.71
"574" 361.47 132.29 528.59 585.82
"575" 585.65 517.12 582.71 622.59
"576" 620.35 416.94 429.41 592.88
"577" 228.76 255.06 300 183
"578" 485.71 554.47 532.76 252.82
"579" 392.18 637.12 241.76 92.88
"580" 507.65 302.35 137.75 423.94
"581" 521.94 578 358.12 272.69
"582" 303.82 473.18 299 335.82
"583" 626.19 592.69 471.47 573.88
"584" 603.41 621.82 594.62 477.29
"585" 547.82 589.6 509.63 528.35
"586" 301.41 527.18 588.82 465.76
"587" 322.94 558.47 335.29 435.06
"588" 564.59 607 239.06 437.76
"589" 443.76 283 568.41 564.12
"590" 487.76 243.18 208 364.29
"591" 329.29 457.82 536 537.18
"592" 494.71 315.53 290.29 548.94
"593" 535.18 437.12 491.94 502.88
"594" 505.47 481.47 454.35 330.47
"595" 497 426.2 524.13 547.4
"596" 324.47 362.41 381.53 505.76
"597" 522.94 445.59 524.82 518
"598" 515.29 508 476.47 481.94
"599" 511.88 467.65 192.06 279.12
"600" 445.71 485.24 430.35 283.75
"601" 426.69 416.24 413.41 291.41
"602" 365.65 97.94 196.24 275.06
"603" 360.35 64.35 234.24 82.47
"604" 136.24 188.94 274.12 184.47
"605" 367.65 349.41 309.29 58.94
"606" 136.35 138.41 236.24 242.53
"607" 284.94 91.65 62.18 262.29
"608" 172 277.59 51.29 129.06
"609" 219.47 142.59 174.12 171.29
"610" 110.76 40.41 90 271.35
"611" 261.29 201.76 245.06 197.59
"612" 178.59 244.9 117.8 255.1
"613" 428.6 366.2 533.1 513.4
"614" 437.2 218.7 282.3 263.8
"615" 523.3 563.8 572.8 568.2
"616" 515.4 597.3 571.8 581.6
"617" 573.6 531.9 559.4 505.6
"618" 513.9 586.2 380.9 500.1
"619" 583.9 359.5 391.5 505.8
"620" 360.2 365.3 109.9 285.5
"621" 112.6 381.8 483.2 324.4
"622" 259.9 441.4 445.1 399.5
"623" 461.9 612.9 499.5 460.6
"624" 345.7 130.2 260.6 589.3
"625" 554.6 239.8 414.1 192.6
"626" 320 632.7 626.8 597.2
"627" 527.9 437.3 550.2 388.4
"628" 227.5 180.9 274.4 99.8
"629" 343.5 525.1 297.4 339.1
"630" 369.8 552.6 351.5 345.1
"631" 539.9 465.5 505.9 485.9
"632" 552.6 542.8 563.2 534.8
"633" 457.6 538.8 390 517.5
"634" 493.1 483.9 519.6 207.8
"635" 367.6 405.8 93.4 195.9
"636" 510 443.5 288.3 510.7
"637" 472.7 359.8 441.1 394.7
"638" 298.9 166.9 506.9 355.2
"639" 483.2 443.4 158.8 389.9
"640" 371.1 391.1 200.7 192.5
"641" 113 506.1 468.5 353.7
"642" 459.9 340.2 389.2 388.1
"643" 418.3 99.6 286 406.5
"644" 414.1 381.8 101.4 175.1
"645" 356.3 370.6 199.9 315.8
"646" 369.9 375.2 361.6 163.6
"647" 51 242.5 262.2 192.8
"648" 105.1 145.1 225.5 74.2
"649" 131.8 119.9 122.1 81.3
"650" 275.1 167.4 314 196
"651" 156 212.2 58.3 202.8
"652" 214.2 184.1 127.4 113.4
"653" 53.8 212.2 50.7 114.4
"654" 69.9 37.8 186.1 157.2
"655" 164.6 470.12 344.82 149.29
"656" 413.35 113.82 91.24 402.88
"657" 550.59 506.94 524.59 495.82
"658" 440.53 293.94 295.94 404.47
"659" 500.47 592.71 508.29 541.94
"660" 523.94 87.24 620.71 609.35
"661" 538.59 552.06 551.94 490.76
"662" 343.29 549.18 352.41 378.06
"663" 564.47 234.71 279.88 258.94
"664" 534.18 592.71 491.88 615.71
"665" 620.35 383.35 122.53 279.24
"666" 214.35 276.76 157.18 399.56
"667" 459.19 584.93 564.8 402.14
"668" 241.29 436.82 562.18 458.18
"669" 371.65 488 457.82 649.76
"670" 633.12 627.06 606.53 581.35
"671" 580.24 442.76 292.65 424.12
"672" 649.71 612.24 198.71 301.47
"673" 458.82 357.88 108.24 239.12
"674" 482.94 412.59 420.12 323.65
"675" 320.56 370.12 372.76 404.65
"676" 527.35 468.69 446.59 325.47
"677" 121.71 587.35 518.24 415
"678" 585.76 579.53 513.75 424.88
"679" 417.29 536.59 559.88 382.12
"680" 459.35 321.06 504.18 537.82
"681" 573.65 496 503.24 526.29
"682" 468.79 506.82 492.41 525.41
"683" 528 371.41 86.12 301.35
"684" 399.41 498.06 205.71 287.06
"685" 435.29 392.71 271.18 433.53
"686" 345.59 209.82 192.24 319.65
"687" 506.47 336.59 241.65 97.94
"688" 314.88 244 380.18 126.19
"689" 317.71 279.06 309.76 317.47
"690" 426.65 399.53 332.82 304.88
"691" 267.53 158.24 118.06 75
"692" 213.41 308.47 208.65 82.53
"693" 285.41 160.93 65.59 129.06
"694" 160.94 294.41 151 322.24
"695" 86.82 253.88 181.71 109.76
"696" 119.35 282.47 67.06 217.06
"697" 77.94 74.41 90.29 71.76
"698" 44.65 54.65 24.41 27.76
"699" 77.29 134.06 198.41 225.88
"700" 69.47 56.94 61.24 580.71
"701" 583.41 571.24 154.47 297.65
"702" 395.94 574 433.65 179.59
"703" 300.24 481.88 566 426.41
"704" 211.12 550.18 415.88 392.53
"705" 194.88 46.59 232.06 178.53
"706" 560.94 341.76 376.76 335.65
"707" 268.12 197.71 317.59 526.69
"708" 505.25 668.64 606.88 330
"709" 480.53 245.82 324.18 433.53
"710" 338 546.29 471.47 235.65
"711" 394.29 376.47 532.65 333.88
"712" 564.82 306 283.75 669.13
